premise	hypothesis	label
Two men in suits standing under an umbrella, next to a wall covered in graffiti.	Two men are standing in the rain waiting for a bus.	1
A man and a woman both wearing blue shirts using a camera to take a picture of themselves in front of a fountain as a dark-haired woman passes by.	The woman is old	1
The dog runs in the park.	A dog chases a stick in a park.	1
A red plane flying over a boat as it trails pink smoke.	A plane is skywriting over the water.	1
Two people enjoying a drink next to there bikes.	Husband and wife take a break from the 400 mile cycle race to enjoy a frosty beverage.	1
A blond woman wearing glasses and a brown jacket is walking by wooden masks.	The blond woman is in a museum.	1
A dark headed man kneeling down beside of a yellow wall.	The man was taking a break after running.	1
Two young girls eating corn on the cob on a sidewalk without shoes.	Two young girls eating corn on the cob from the block party.	1
A welder in a mask welding with sparks flying.	He is welding a boat trailer.	1
A woman and her saint bernard dog sitting on a bench in the park on a sunny day	A woman is waiting for her husband with her dog next to a lake in a park.	1
Costumed girl playing with a hula-hoop in a crowd.	Girl entertaining crowd	1
A dog running across the snow with a snowball in its mouth.	A puppy is running outside during a white christmas.	1
A group of men dressed in red are playing the drums.	A group of men in matching clothes play in a band as others pass by.	1
The dollies and shipping containers create a roadway for the worker driving the vehicle.	The man is driving a forklift to unpack a shipping container.	1
A couple of people are standing and the person in the red coat is pointing at the body of water.	A couple of people are near a body of water.	1
Cheerleaders wearing white hold silver and blue pompoms as they wait.	The cheerleaders are at the basketball game.	1
A boy in green throws his left leg into a kick.	The boy is practicing his karate moves.	1
Two men are rock climbing.	There are some guys climbing a mountain.	1
A woman has messy hair and her face and chest are covered in fake blood.	A woman covered in fake blood prepares to go out on stage.	1
A solo snowboarder swooshes down a mountain leaving a cloud of powdery snow in his wake.	The snowboarder was the only one of the mountain.	1
A small boy standing amongst flowers.	A small boy boy stands next to lilacs.	1
Man in suit dancing with woman in white dance suit.	Some people dancing in the disco tech.	1
Smiling boy in tube, extending had toward camera.	A boy attempts to eat the camera.	1
Four women are standing and talking to each other.	The women are talking about social values in a group.	1
A large group of seated people all looking in the same direction.	People are watching a movie in a movie theater.	1
three weirdly dressed men, playing in some form of musical fiasco.	People are confused about the weirdly dressed music trio.	1
The black dog is by a soccer ball and the brown dog is running.	Two dogs are playing outside.	1
The black dog is by a soccer ball and the brown dog is running.	People are trying to catch their dogs who wandered into a soccer game.	1
A man in a yellow shirt covered in sweat playing a guitar.	The man is singing a song.	1
A man is walking down a street with bicycles behind him.	A man is crossing the street in the middle of a bicycle race.	1
A man in a jersey stands in front of a large crowd.	The man is a basketball player.	1
Three people are gathered around a pit which has skinned animals on sticks that they are cooking.	Three people are joyously gathered around a pit	1
A man wearing a white shirt and black pants laying on a couch.	a man thinks about his day	1
A girl in pink slides down the slide at a playground.	A girl is sliding down the slide in the rain.	1
A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat.	There is no woman.	2
a dog jumps over the fence.	The pet is sitting on a couch.	2
A little boy is playing in the water with a beautiful sunset and mountains in the background.	The boy is having a grilled hot dog.	2
A group of people photographs something upward at the same time.	A group of people are watching tv.	2
An Asian street performing couple wearing black outfits with giant bowties are making funny gestures in front of an audience which is sitting on the sidewalk.	A couple are playing instruments on the street.	2
Four girls in bathing suit type uniforms are pictured playing volleyball outdoors.	a boy eats pizza	2
3 people wearing festive costumes and feathers dancing in a parade.	Some people are running in a marathon.	2
A guy filming dolls messes around with his camera.	A guy filming baby mice gets excited.	2
Two well-dressed, elderly ladies wearing extravagant hats.	Two people are wearing casual clothes.	2
Man playing disc golf in a field.	The man is playing basketball	2
Workers erect a pavilion for an event in the park.	Workers build a stage for the outdoor concert.	2
A shirtless man wearing light blue shorts and a baseball cap stands at the front of a boat.	A man decides to spend the afternoon at the movie theater.	2
A man in a red shirt walks past a store with a huge rocking chair.	The man does not see a giant rocking chair.	2
Children playing in a playground.	Some kids are playing in the livingroom.	2
A toddler in dirty jeans attempts to pull a younger child in a wagon.	Children are clean.	2
Two women both wearing white shirts and black pants, one smoking sitting on a fixture on the sidewalk.	Two women are wearing black shirts and white pants.	2
A man is standing playing the guitar.	This man is a quadriplegic.	2
A man is taking a picture of a woman by a fountain.	A woman is photographing her husband near a fountain.	2
Two dogs are running up a woodland path.	There are three dogs.	2
A man with gray hair and glasses looks downwards.	The man with glasses looks towards the clouds.	2
One motorcyclist speeds away from a parked motorcyclist along a drag strip.	The people in sports cars are racing.	2
A car is driven on a dusty track.	A car is parked in a parking lot.	2
A woman wearing a pair of glasses with her hair pulled up into a bun is using a power drill and inserting into a wall.	A woman is wearing her hair down.	2
A group of people, old and young, men and women, sit around a table doing arts and crafts.	A female crafting group perform an activity together.	2
Two people are laughing and looking at a computer screen.	The people are eating in a cafeteria	2
Three elderly women walking from behind.	The woman was young	2
A woman in black is explaining a diagram.	A woman is burning down a diagram.	2
Two men and a woman walking together.	Two girls and three men are running together.	2
A teenage girl with short brown hair knits with large needles and gray yarn.	A boy knots.	2
A man with helmet stands in front of a building	The man is inside the building	2
Workers cleaning a set of statues and the surrounding steps.	Men sitting on the bench.	2
Cheerleaders throw girl in air.	Cheerleaders are lifting up their arms	2
A candid photo of a woman wearing a pink coronet and gold trimmed pink dress, standing in what looks to be a reception or conference room.	A woman is wearing blue and is outside.	2
Group of cyclists spotted on an Asian highway.	Some cyclists are repairing their bikes.	2
An man cooks on his grill at sunset.	A man is baking a cake for his mother.	2
A woman in a black dress stands next to a pink bicycle.	The woman is wearing a pink dress and has a black bike.	2
A group of people having their picture taken.	People ride a roller coaster at Disneyland.	2
A woman in a white shirt is wearing goggles.	The woman is wearing a dress.	2
Protesters run as gas grenades are thrown into the street.	The protesters are getting shot at by firearms.	2
A woman in a red dress covers another woman's eyes.	The two women are at opposite ends of the block.	2
A blond woman sitting with her legs crossed with her eyes closed.	A blond woman is jumping up and down	2
A woman walking in the rain with a child.	A woman is sitting on her couch.	2
Spectators and photographers paying attention to an event.	Videographer is not paying attention.	2
Four girls eat breakfast at a convention.	A group of gorillas	2
A man in a pink plaid shirt, holds a blue object, a green object and a red object that are often used for juggling.	An acrobat throws three objects in the air.	2
Two young girls playing together.	Two young girls not playing	2
A young boy wearing rubber boots dark shorts and a checkered shirt is lying down sleeping on stacks of yellow metal guard rails.	The boy is tucked into a blue blanket.	2
A man with no shirt plays basketball.	A woman with no shirt plays basketball.	2
Boy in sunglasses walking in the ocean.	the boy is at church singing	2
Female sign holders take refuge under umbrellas during a rainstorm.	A group of people are singing.	2
Two dogs play with each other outside.	Four dogs played at the park.	2
A woman is blowing bubbles while in the middle of a crowd.	A woman is sitting alone, playing the flute.	2
The little girl is helping her little brother get soap out of the dispenser.	The little girl hides the soap from her little brother.	2
A young boy looks through a tube.	A young boy rides down a water park tube.	2
A lady in a bright pink shirt is pulling a hot food cart.	A lady smiling for a photograph.	2
A dog leaps off a dock and into the water.	A dog is sleeping on a couch.	2
Three people wearing life preservers are enjoying some fun in the water.	Four people who are not wearing life preservers are in the water.	2
a child reaches up into the air as a woman stands to his left and another person is seen wearing jeans to his right	There are three children.	2
A group of four people sitting on a stone wall.	Some people stand on a wall.	2
A man wearing a blue sweater and collared undershirt is playing the board game Risk	The man is wearing a red shirt.	2
People out enjoying drinks and conversation while sitting at an outdoor restaurant patio.	The people are sitting inside the restaurant.	2
A black station wagon with its lights on, partially submerged in water with a wooded area behind it.	A car is driving across the lake to escape the forest fire.	2
A man in blue uniform about to throw a basketball.	A man in a green uniform is going to throw a football.	2
Man wearing a gray jacket sitting on a green bench petting a black dog wearing a red collar.	A man is petting a golden retriever	2
