	question	option1	option2	label
10	To make the chocolate pasta dough  pliable enough to roll	Wrap dough in plastic wrap and allow to sit a room temperature for one hour.	Wrap dough in plastic wrap and allow to sit in a freezer for one hour.	0
11	Where is the best place to store a cooler when camping?	Store it in the car away from sunlight preferably and in the coolest area.	Keep it in your tent or somewhere easily accessible for everyone.	0
12	To help a mechanic determine the issue involved with a car,	record the images and sounds of the car's malfunction.	type out any details you notice and then email the mechanic.	0
13	What is the best way to paint a door	Take it off the hinges and lean it up against something, then paint	Leave it on the hinges where it already was, then paint	0
14	To protect files from being lost,	back the files up to an external hard drive where the originals are not already stored.	back the files up to the same hard drive as the originals are stored on.	0
15	How to glue metal sheet to the ledge.	Using super glue, put the glue on the edges of the ledge and press the metal sheet down on the ledge. Let dry.	Using playdoh, put the playdoh on the edges of the ledge and press the metal sheet down on the ledge. Let dry.	0
16	how to make ranchero burrito	Make Breakfast Burrito, spreading the tortilla with 2 tablespoons warm mashed black beans and 1 tablespoon sour cream before adding the fillings.Sprinkle with cilantro and roll up.	Make Breakfast Burrito, spreading the tortilla with 2 tablespoons warm mashed black beans and 1 tablespoon sour cream before adding the fillings.Sprinkle with cilantro and fruit roll up.	0
17	To cook instant cheesy potatoes.	Follow the instructions on the packaging to make the cheesy potatoes.	Follow the instructions on the packaging but add extra milk to make the potatoes even cheesier.	0
18	dish towel	can wipe up water 	can wipe up nail clipper 	0
19	How can I find the end of masking tape easier?	Soften it up by placing in the microwave for a few seconds.	Soften it up by placing it in the freezer for a few seconds.	0
20	To mix liquid ingredients inside of a bottle, you can	Place the cap on the bottle, then shake the bottle	Shake the bottle, then place the cap on the bottle	0
21	How to eat a piece of pizza	Cut the pizza into 8 slices, then grab a piece, fold it and take a bite	Cut the pizza into 2 slice then grab it and take a big bite	0
22	How can I keep my bartender from getting rid of my drink if I have to go to the bathroom quickly?	"Place a coaster on top of your drink, this is universal sign for ""I'll be back""."	"Place a coaster under your drink, this is universal sign for ""I'll be back""."	0
23	Treat an annoying pimple.	Use gel from liquid Advil.	Use a glob of hair gel.	0
24	Stinky clothes hamper	Empty the hamper, wipe down hamper inside and out with warm water and a few drops of dishwashing liquid. Let air dry, then spritz with lemon juice for a very fresh clean scent. Do this every once in a while.	Empty the hamper, turn clothes inside and out and wipe with with warm water and a few drops of dishwashing liquid. Let air dry, then spritz with lemon juice for a very fresh clean scent. Do this every once in a while.	0
25	Make wrapping paper glossy.	Spray hairspray after wrapping.	Spray hairspray before wrapping.	0
26	paper clip	connecting papers easily	connecting fabric easily	0
27	tomato	provide fiber to people	provide cholesterol to people	0
28	How to put out a candle with a lot of wet wax?	Instead of blowing, lick your finger tips and press them against the wick quickly	Instead of blowing, lick your finger tips and dip them into the wax quickly	0
29	How do you create a small hole for plants in a board?	Using a 2 inch drill, place it where you want on the board and drill on the lowest setting about 80% of the way through the board.	Using a 2 inch drill, place it where you want on the board and drill on the highest setting about 80% of the way through the board.	0
30	what materials are needed to make milk jug skulls?	A RESIN master skull...found on Ebay.        Good heavy gloves        Heat gun        masking tape        hot glue gun with glue sticks        sponge        scissors, razor knife        regular screw driver        bowl of ice water with a towel        plastic gallon size milk jugs!!	A RESIN master skull...found on Ebay.        Good heavy gloves        Heat gun        masking tape        hot glue gun with drum sticks         sea sponge        scissors, razor knife        regular screw driver        bowl of ice water with a towel        plastic gallon size milk jugs!!	0
31	Make jump rope handles.	Attach empty plastic bottles to rope ends.	Attach empty glass bottles to rope ends.	0
32	Clean the fan blades.	Using a qtip, reach through the cage and clean as much of the blade as you can reach. Repeat until dust free.	Take the cage off the front of the fan, wipe each blade, replace the cage.	1
33	mittens	can damage coat hanger by prying	can dry on coat hanger when in sun	1
34	How to melt chocolate to make a Star Wars Death Star shape	Place some chocolate pieces in a small bowl, then microwave on low in 2 second increments stirring before each time.	Place some chocolate pieces in a small bowl, then microwave on high in 30 second increments stirring after each time.	1
35	To light up a full room with a small light,	hold the light towards the floor of the room.	hold the light towards the top of the room.	1
36	how do you get on an airplane?	walk onto the ramp.	give the flight attendant your ticket, and make your way up the ramp into the plane.	1
37	what to do with zucchini tops	blanch them in marinara sauce and serve them as a snack	blanch them in salt water and serve them as a snack	1
38	how to make black tea punch	Remove the zest from 6 lemons in strips; muddle with 1 1/2 pounds superfine sugar in a pitcher. Add 2 cups each brewed black tea, dark rum, cognac and ruby port, and 1/2 cup each triple sec and ginger liqueur. Chill. Serve over ice; top with seltzer and a lemon slice.	Remove the zest from 6 lemons in strips; muddle with 1 1/2 cups superfine sugar in a pitcher. Add 2 cups each brewed black tea, dark rum, cognac and ruby port, and 1/2 cup each triple sec and ginger liqueur. Chill. Serve over ice; top with seltzer and a lemon slice.	1
39	To determine how much conditioner you should use,	use however much fits into the palm of your hands.	try different amounts for awhile and see what works best.	1
40	To be prepared when in the wilderness, you can	Carry playing cards with you in case you need to start a fire	Carry matches with you in case you need to start a fire	1
41	To find the end of a tape easily	Clip a paper weight to the end of the roll.	Clip a paper clip to the end of the roll.	1
42	To protect walls from door knobs.	Simply cut a slit in a golf ball and wrap it around the offending knob—when it hits the wall, it will bounce right off rather than leaving an indentation.	Simply cut a slit in a tennis ball and wrap it around the offending knob—when it hits the wall, it will bounce right off rather than leaving an indentation.	1
43	how do you store something?	throw it in the garbage.	place it somewhere to save it.	1
44	Remove oil stains from your driveway	Open and pour a bottle of water over the oil stain area. The wetness from the water will break down the oil stain.	Open and pour a cola over the oil stain area. The acid from the cola will break down the oil stain.	1
45	To score lines on a piece of brass, you can	Use a chopstick to score the lines	Use a scalpel to score the lines	1
46	To make a sundress out of old men's dress shirts	Cut off midsection of one shirt leaving only the arms of the shirt, attach another cut-out midsection and sew to the other midsection to create the skirt section of the dress. Use the arms of the shirt to create straps to hold dress up on shoulders.	Cut off collar and arms of one shirt leaving only the mid-section, attach another cut-out midsection and sew to the other midsection to create the skirt section of the dress. Use the arms of the shirt to create straps to hold dress up on shoulders.	1
47	shovel	can dig through concrete 	can dig through dirt 	1
48	floss	can cut peanut brittle to make treats	can cut frozen pudding to make treats	1
49	how to make dulce de leche petits fours	Slice a thawed frozen biscuits and gravy (crusts removed) lengthwise 1/4 inch thick. Stack 3 slices with dulce de leche in between. Repeat with the remaining pound cake. Cut into triangles; dip 1 side of each in melted white chocolate and dust with cocoa powder. Chill until set.	Slice a thawed frozen pound cake (crusts removed) lengthwise 1/4 inch thick. Stack 3 slices with dulce de leche in between. Repeat with the remaining pound cake. Cut into triangles; dip 1 side of each in melted white chocolate and dust with cocoa powder. Chill until set.	1
50	To make the individual loafs for the spanish bread	Divide the risen dough to 16 pieces with a fork	Divide the risen dough to 16 pieces with a knife	1
51	How to add soy sauce to rice	Take a bottle of soy sauce and close the lid. Hold it at an angle above the rice so that soy sauce is being poured onto the rice.	Take a bottle of soy sauce and open the lid. Hold it at an angle above the rice so that soy sauce is being poured onto the rice.	1
52	How do I make a cappuccino?	Put 1 or 2 shots of espresso in a mug. Froth half a cup of sugar and pour the froth into the mug.	Put 1 or 2 shots of espresso in a mug. Froth half a cup of milk and pour the froth into the mug.	1
53	Password protect a smartphone.	Use keyboard order letters for highest security.	Use accented letters for highest security.	1
54	To improve the flavor of spaghetti noodles,	add cream to the cooking water.	add butter to the cooking water.	1
55	One wants to cook while camping.	One should use the grill brought.	One should use the bonfire.	1
56	What gives the Pistachio Truffle a brown color?	The presence of brown coloration makes is very brown.	The presence of cocoa powder is why it is brown.	1
57	Remove excess salt from soup.	Add orange slices to absorb, then remove.	Add apple slices to absorb, then remove.	1
58	To make homemade soda from syrup and carbonated water.	Put 3 cups of favorite syrup into a large cup. Pour carbonated water into the cup mixing the syrup in the process.	Put 3 tablespoons of favorite syrup into a large cup. Pour carbonated water into the cup mixing the syrup in the process.	1
59	How do you build a table?	First, you'll need a large slab of wood and four smaller wood poles. Then, lay the slab of wood on the ground upside down, dent the wood where the table legs will be with a hammer put repeatedly hitting the slab and insert the poles in the dents.	First, you'll need a large slab of wood and four smaller wood poles. Then, lay the slab of wood on the ground upside down, apply glue where the table legs will go and put the poles on top of the blue, pushing down on them for a while so they stick.	1
60	How can I get rid of my cat's fleas and clean it?	The pH of Dawn dishwashing soap is also around 7. This makes it neutral for human skin and perfect for dogs and cats. Therefore, you can safely and effectively use Dawn dish soap for eliminating fleas on your pet as well as its environment. Use it very, very often, as this will dry out your pets skin.	The pH of Dawn dishwashing soap is also around 7. This makes it neutral for human skin and perfect for dogs and cats. Therefore, you can safely and effectively use Dawn dish soap for eliminating fleas on your pet as well as its environment. Avoid using it too often though, as this will dry out your pets skin.	1
61	What flour would I need for butter cookies?	You need 155 grams of plain starch and 55 grams of corn starch.	You need 155 grams of plain flour and 55 grams of corn flour.	1
62	What should you do to prevent someone from stealing your bag if you are taking a nap on public transit?	Wrap the handles of the bus/subway map around your legs or put your legs through them, that way you'll be wakened if someone messes with your stuff.	Wrap the handles of the bag around your legs or put your legs through them, that way you'll be wakened if someone messes with your stuff.	1
63	To help children feel less afraid of monsters at night,	leave monster statues in the child's room to act like scarecrows for the child.	create a fake monster spray and tell the child it works to scare away monsters.	1
