premise	hypothesis	label
An elderly woman cutting fruit at a market.	The elderly woman is in the market.	0
A hand holding a cellphone taking a picture of a man with glasses.	Someone is taking picture of a man with glasses.	0
Two kids playing on a pebble beach by the water	Two kids were playing on a pebble beach.	0
Basketball players in the middle a game with the main subject jumping up to retrieve the ball.	People are are playing a sports game.	0
A dirt racer in the desert.	A person is riding a vehicle in a dry-looking area.	0
A young woman, sitting, holds up a sign protesting BP.	A person is sitting.	0
A child playing with water noodles in a pool.	A kid is in a pool	0
People eating at a French restaurant.	There are people having a meal.	0
A woman works a traditional loom to make a rug.	A person works a traditional loom to make a rug.	0
A construction worker peering over a ledge.	A human peering.	0
A woman wears an Egytian-like headdress.	A woman is wearing something in her hair.	0
An older man wearing a chinese outfit shooting a large bow at a target	A man wearing a chinese outfit shooting a large bow at a target	0
A young female wearing a softball uniform and glove jumps into the air while holding a ball.	A girl wearing a softball glove jumps up.	0
A baby in a blue shirt is in a swing.	A baby in a shirt is in a swing.	0
A man with short hair wearing a white t-shirt takes a photo at the top of the hill of the grass and trees.	The man in the t-shirt is taking a photo at the top of the hill.	0
A baseball game is underway and there is an audience watching the game.	An audience watches a baseball game.	0
A group of people near a fishing port.	The group is gathered down at the dock by the port.	0
Deli workers hand paper plates of food across a counter to customers.	The deli workers are serving the people.	0
A person is riding an orange kayak down a series of short waterfalls and rapids.	A person is riding a kayak down a short waterfall.	0
Three hockey players are engaged in a game.	They are playing a game.	0
A person is riding a skateboard in the air above a ramp.	the person is doing a trick	0
greyhound dogs are running towards camera on a track.	greyhound dogs are running towards camera.	0
A woman is on the ledge of her window next to a clothesline, while a child stares out the window.	Two people are near windows; there's a clothesline outside	0
An accordion player accompanies a man and woman who are dancing a tango on a city street as several passersby watch.	a person plays an accordion for a man and woman who are dancing tango on a city street	0
A skateboarder in a ty-dye shirt going down a ramp.	The skateboarder is in a ty-dye shirt	0
Three men work on the ground, two digging and one putting mortar on a wall.	Three men are working on a construction site.	0
A man in a blue hat is watching something that is happening off-camera.	The man is not looking at the camera.	0
A young person in black pants and a brown fedora uses their mobile device on a city sidewalk.	Someone is standing outside.	0
An older gentleman and an elderly lady are talking to two younger ladies in uniform on an urban street.	There are people over the age of thirty.	0
A person leans against a stone bench outdoors staring up at the sky.	The sky is above the person	0
A man in a top hat playing the accordion.	A musician is playing an instrument.	0
There is a woman, who is all dressed up in a beautiful multicolored tutu with a tiara, doing a split in midair for a performance.	The woman is wearing a tiara.	0
A man with something orange on his helmet riding a bike in a busy setting.	The man is riding a bike.	0
A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.	A drunk man is drinking in a garden	1
Two teenagers interacting with the elder population.	Some kids read to old people.	1
2 girls laying down on the grass.	They girls are watching the clouds float by.	1
A dog sled with two passengers travelling through the snow.	The tourists are enjoying a sled ride with dogs.	1
Many cameras are set up against a barricade.	The cameras are monitoring people.	1
A woman with her face painted wears silverware like a necklace and a crown.	A woman wears odd jewelry from her grandparents silver collection.	1
Young man is skating on a road; on a sunny day.	A teenager is skating fast on a road.	1
A man in shorts is shoveling snow.	The man is feeling overheated from his work shoveling snow.	1
Two people embrace outside of a red car at night in a brightly-lit city.	A man an his wife hugging after a date.	1
A woman in white jacket snowboarding at a park.	She is cold.	1
A woman with glasses is looking at a gray laptop with two other people at a table in a yellow room.	The other two people in the yellow room were hispanic.	1
A black and white dog is going through an obstacle course.	a dog is racing through an obstical course in May	1
Two young people sitting inside a window with an airplane outside.	Two people beside window with an airplane outside.	1
Construction workers are laying bricks in the median of a train station.	Construction workers lay black bricks in a median.	1
Six topless men standing on a balcony.	Body builders show their upper bodies to the crowd that formed below their hotel room's balcony.	1
A boat with people and their belongings is in the water.	The boat is moving across the surface of the water.	1
A performer wearing stilts, which are covered by her white pants, is walking in a parade.	Someone is chasing a person on stilts.	1
Restaurant workers clean up a dining area.	There are female workers cleaning.	1
A dog holds a stick in its mouth in the water.	A dog has a stick that its owner threw.	1
A man checking the temperature of a lady with an ear thermometer.	The man is worried about the women's high temperature	1
A woman wearing black is hugging a child.	A greiving mother holds her last child.	1
A man in a blue shirt and glasses is sleeping in the car.	The man is sleeping in a Toyota.	1
A man with black hair and glasses is talking into a microphone.	A man stands in front of the croweded auditoriium and introduces us to the next band.	1
An event is taking place outside.	Someone has balloons.	1
a boy with red soled shoes is playing on a swing.	A child is playing in the park	1
A show horse being ridden by a woman in jockey clothes is about to jump over a white steeple on a green field in front of a parking lot with camper vans in it.	A show horse being ridden by a sexy woman is about to jump over a big white steeple on a green field in front of a parking lot with camper vans in it.	1
A woman using her cellphone on a sidewalk with three people talking amongst themselves in the background.	a woman is talking about the three people behind her	1
A young asian woman wearing long shorts and a gray collared t-shirt is sitting on a wooden bench.	A young asian woman sits on a wooden bench waiting for her friend.	1
A baseball player in a white uniform is throwing the ball to another player at a base.	There is a baseball player in a tournamet.	1
A person wearing a short-sleeved light blue shirt over a long-sleeved white shirt and blue jeans is holding a long-lensed camera to his face while standing next to a red colored railroad car.	This person is a professional photographer.	1
Two men are sitting in chairs and looking at books.	Two men reading books about how to hit on other men at the library.	1
Three ladies loaded down with bags and a stroller make their way down a crowded sidewalk.	A group of woman push a little girl in a stroller through the crowded market place.	1
A family sitting around a patio table smiling at the camera.	The family was happy.	1
Backyard jump pose that looks ninja like as two friends pretend to fight among green garden set ups.	The two boys are practicing for a play in which they will portray Ninja masters.	1
A woman weaves yarn as a child watches on in the background.	The child is the woman's grandchild.	1
The badgers' pom team pose for a photo.	The badgers' pom team are cheering at a game.	1
A soldier dressed in combat gear scales a wall to join his fellow comrades on the other side.	The soldiers are at basic training.	1
A man walking behind a red truck near a storefront.	The man is carrying the goods to his truck.	1
Four shirtless men are working on a building.	The men are sweating profusely.	1
With flowers in the foreground, a man in a blue striped shirt bikes past a large white building.	The scene takes place in Austin, TX.	1
A female belly-dancer with two large fans, in front of a band.	A woman is teaching a belly dancing workshop.	1
A dancer performs some gymnastics with a hula hoop before a panel of women.	The dancer is a woman	1
Strolling down path to nowhere.	Tall humans strolling.	1
Several people are riding on a roller coaster while reacting to going through a loop in various ways.	The people are enjoying the roller coaster as it goes through loops.	1
Kid playing old school game on an old pc.	A blonde person playing	1
A young boy turning the wheel on a merry-go-round.	A boy is playing.	1
A man dressed in an army uniform next to a person with a green shirt hanging from a pole.	there is a person dressed in his pajamas standing next to another person wearing overalls standing near the telephone booth	1
Five people are sitting in front of the ocean.	Five people are watching the waves.	1
Sweaty drummer in a Celtics jersey playing the drums.	The sweaty drummer is a big Celtics fan.	1
A boy and girl are kissing by a lake.	They are in love.	1
A baker is making cookies on a large pan.	A baker fills an order for three dozen cookies.	1
A number of people in white cowboy hats are sitting on horses and talking, while a man in a black cowboy hat sits on a nearby fence.	cowboys talk cow-logistics	1
Some people are paddling in an air filled raft.	Some people are going rafting.	1
Children smiling and making faces to the camera.	The children have downs syndrome.	1
Four people in a room with a table full of books.	They are preparing to read a book.	1
A man in a blue shirt runs under a blue road marker in a race.	A man runs through a race in green pants.	1
Two people wearing skis stand looking at a mountain.	Two brothers stand near a mountain.	1
A teenage boy is jumping on an inflatable slide.	A teen is jumping on an inflatable slide at his brothers party.	1
A marching band does a presentation.	A marching band practices for a parade.	1
A man is hauling something out of the water into a small boat.	A person hauls something out of the water with a boat.	1
A woman in a red jacket is sitting on a cement block.	A woman is sitting outside.	1
A laughing woman is sitting on a patterned couch.	The woman is laughing at her own joke.	1
Three boys on a hiking trip.	The boys are hiking for two days	1
A man in black oxfords, jeans and a layered green over black shirt, jumps in front of a run down industrial building.	A man jumps in front of a building because there is an explosion nearby.	1
Two guys riding skateboards with one of them performing a jump trick.	Two guys hanging in their room.	2
A man in a suit dozes on a park bench, with a sign for the subway in the background.	The man is fully awake.	2
A happy little Asian girl is holding a water bottle.	The little girl holds an aquarium.	2
A dog jumps over a hurdle at a competition.	A dog is examined by a judge at a competition.	2
A little girl in a pink bathing suit swimming in a pool.	A little girl is climbing a tree unsupervised.	2
A black and white dog is jumping up to catch a toy as another dog watches.	a cat watches another cat jump to catch a toy	2
Two women are looking very confused trying to put together an item from the box.	They are taking a nap.	2
Four older men sitting on a blue patterned rug in an ethnic looking place of worship, 3 of them wearing some sort of head covering.	Four men are rapping at a concert	2
A large group of teenagers standing around some are wearing uniform other are dress in their regular clothes.	Some adults are wearing work clothes.	2
A group of people wearing white clothing and red sashes walk down a street.	dog chases cat	2
A man is walking in front of an older home without any paint on it	A man poses in front of a freshly painted building.	2
Three policemen confer around with an obscured person near a traffic signal.	a horse race at the track	2
One dog shaking the water off, getting a second dog wet	A group of dogs wrestling in the mud.	2
Two men are sitting in chairs in the water fishing.	Two men are on a train.	2
A child climbing up a set of cement stairs.	A child climbing on a jungle gym.	2
A man in green and white is riding on a bicycle.	A man rides a llama.	2
A man is standing in front of a woman while eating something.	A man shakes hands with the pastor.	2
A young girl is walking down a sandy path by a large body of water.	A girl is walking through a door.	2
band doing a concert for people	a band is playing football	2
Man with black hat, white shirt and sandals, laying bricks on a construction site.	The man in the black hat is dressed for a wedding.	2
A man stands on a ladder while in a construction zone.	A man is sitting on a couch.	2
Man laughing and talking on cellphone outside.	A man writes a letter.	2
Many bicyclists racing along a dirt road.	The car racers went very fast.	2
A child is observing a chicken in a cage.	The child is looking at a fox.	2
Two people sit on a dock with a sunset in the background.	The man and woman fall asleep on the plane.	2
A man with a braided bandanna stands behind a drum set.	A person is playing the flute.	2
A man in a gray t-shirt and jeans smiles at the camera while sitting in a crowd at an outdoor event.	a farmer picks lettuce for a markey	2
A male on a balcony looks through a telescope to see the seaside city.	A male looking through the window of his Bugatti.	2
An orange truck is driving down the street in front of a white building.	A motorcycle is parked in the garage.	2
Two people with hard hats on standing on a brick wall.	A group of females parading outside.	2
A freckled girl wearing a yellow shirt sipping a drink through a straw.	The freckled girl is wearing a maxidress.	2
A man in a blue shirt is cutting up his food.	blue shirt man making foo	2
Two chefs standing in front of a large boiling pot offer a spoonful of their dish.	Chefs are eating.	2
The football player in white is defending against the player in red who is running with the ball.	The Team is playing tennis	2
Several young women walking along a beautiful hallway	Women are driving down a hallway.	2
A woman looks at a red scarf of one of the vendors set up in the street.	A man looks at a red scarf of one of the vendors set up in the street.	2
A man supports his entire body weight with one hand on a wooden floor	Bob forgot how to walk.	2
There is a man in an orange shirt sitting down with a puppy and ladies in white in the background, facing the opposite direction.	A man is wearing an all black suit.	2
People watching a skateboarding competition, while a person skateboards.	People watching a BMX bike riding competition.	2
Three people walking along rocks, going to go fish	Three people are sitting down.	2
A girl surprised with a phone call from an old friend.	A girl sleeping in bed.	2
A person is running past a large display of plants and flowers.	A person is jumping off a plane.	2
A young white boy is horizontal in the air, about to hit the floor.	the boy is on the ground	2
Group of people watching a skateboarder do tricks at a skate park.	Group of people watching a BMX rider do tricks at a skate park.	2
Toddler playing with plastic toy set.	A teenager is playing on the phone.	2
Lady in dark top, pring skirt, red socks and shoes walking.	the boys were angry	2
A bunch of people outdoors and some of them are wearing hard hats.	There are people working inside a warehouse.	2
A policeman on a motorcycle is stopped behind a car he pulled over.	The librarian pulled over to the side of the road.	2
A girl wearing boots stands next to a swimming pool and four people seated on a bench.	7 men attempt to finish a giant burger	2
A little sitting down on a chair in front of a table wearing goggles and playing with some cylinders.	A little is eating lunch.	2
Two people, one with a white head covering, sit in the sand under a tree.	The people are swimming.	2
The beginning of a cycling race passes by the crowd.	the race is ended	2
Two women and three men are hiking along a rocky stream.	Several people are in the stream.	2
Several people are eating a meal outdoors at a restaurant.	Several people are eating at home.	2
A man wearing a red striped shirt reaches for a plate of food while others wait.	The man is wearing a bathing suit.	2
A man kissing a woman as she takes a picture.	A man ignores a woman as she paints his portrait.	2
A group of men in a canoe paddle down a river.	There are a group of women in a gym.	2
a woman sitting on a large brown couch in the middle of a mall	The mall is closed and she is breaking in.	2
Little girl sitting in a blue stroller.	Little boy sitting in a blue stroller.	2
A person with an orange helmet on is skateboarding at a skate park with a Beno's building on the right side.	A girl rides her bicycle through the park.	2
Four girls are in a ballet.	Male dancers are performing jazz.	2
three pairs of underpants are hanging from a line under a red shelter.	There is folded undwear in a basket.	2
A group of men, women, and children, all wearing hats, talk on the beach.	The group of teenagers are playing volleyball on the beach and will likely get sun burned because they have no sun protection for their heads.	2
A woman is wearing a white headband, purple tank top and black gloves.	A woman wearing a yellow headband and green tank top swimming in a pool.	2
