	question	option1	option2	label
32	Put a Lazy Susan turntable inside of a kitchen cabinet.	Place the Lazy Susan hardware in bottom shelf of cabinet.  Cut tabletop shape out of wood that will fit your cabinet in all directions.  Attach tabletop to top of Lazy Susan hardware.	Mount the Lazy Susan hardware to bottom shelf of cabinet.  Cut tabletop shape out of wood that will fit your cabinet in all directions.  Attach tabletop to top of Lazy Susan hardware.	1
33	Germinate seeds to see if they can be planted.	Open your packet of seeds and get a jar and some water. Wet the jar and put a few seeds in the Jar. Wrap the paper towel around the jar, put in plastic bag and put in warm place. Check in a few days to see if seeds have sprouted. if so you can plant the rest of the packet.	Open your packet of seeds and get a paper towel and a sandwich bag. Wet the paper towel and put a few seeds in the middle. wrap the paper towel around the seeds, put in plastic bag and put in warm place. Check in a few days to see if seeds have sprouted.	1
34	To squeeze a lemon efficiently	Place the lemon between a pair of pliers and squeeze down on the open end until it's all squeezed out.	Place the lemon between a pair of tongs and squeeze down on the open end until it's all squeezed out.	1
35	counter	can carry a mold on it and people want it there	can carry a stove on it and people want it there	1
36	needle and thread	can form gaping holes ancient tapestry	can form ornate ancient tapestry	1
37	How can I get my pie to cool faster in the Winter?	Put it by a cracked vent.	Put it by a cracked window.	1
38	How can you get the freshest bread?	The color of the tie or the tab indicates the year it was made, watch as the shelves are stocked, the furthest back bread is likely freshest, and you can track the color of the tabs and learn what day matches what tab.	The color of the tie or the tab indicates the day it was made, watch as the shelves are stocked, the furthest back bread is likely freshest, and you can track the color of the tabs and learn what day matches what tab.	1
39	To chop onions	Place your onion on a chopping board, remove the top of the onion with a knife, then cut from the top down to the root to cut the onion in half. Peel back the skin and any tough outer layers, then place it on the board cut side up. Use the knife to cut parallel to the chopping board from the top down to the root, from the side furthest from the board to just above it. Do this many times for a fine dice, or just a couple for large sections. Turn the knife around so the sharp blade points down at the board and the point points toward the root, and do the same thing again from left to right. Finally, turn the knife so the blade points down at the board and the point points parallel to the root, and cut slices from the farthest part of the onion away from the root, to close up to the root. Remove the root, and chop the onions with the knife in a rocking motion if need be, holding the blade rightly just above the handle between thumb and forefinger.	Place your onion on a chopping board, remove the top of the onion with a knife, then cut from the top down to the root to cut the onion in half. Peel back the skin and any tough outer layers, then place it on the board cut side down. Use the knife to cut parallel to the chopping board from the top down to the root, from the side furthest from the board to just above it. Do this many times for a fine dice, or just a couple for large sections. Turn the knife around so the sharp blade points down at the board and the point points toward the root, and do the same thing again from left to right. Finally, turn the knife so the blade points down at the board and the point points parallel to the root, and cut slices from the farthest part of the onion away from the root, to close up to the root. Remove the root, and chop the onions with the knife in a rocking motion if need be, holding the blade rightly just above the handle between thumb and forefinger.	1
40	To stop the clock in a basketball game,	continue dribbling the ball.	foul an opposing player.	1
41	What can I use to make my own tea bags	You can use coffee bag and loose tea	You can use coffee filters and loose tea	1
42	Make an extra long funnel.	Poke holes in middle of a pool noodle.	Poke holes on both ends of a pool noodle.	1
43	How do you grow a fern in a pot?	They require moist soil, regular watering, and dappled shade. These shade-loving plants can be grown together or mixed with other plants in various container combinations.	They require moist soil, regular watering, and dappled shade. These shade-loving plants can be grown alone or mixed with other plants in various container combinations.	1
44	To produce dye of certain colors when out in nature,	press grass and rocks together inside of a bucket of water or mud.	press flowers and water together to obtain a dye of the flower's color.	1
45	how to water a tree?	Bring a container of juice to a tree. Tilt the container so that juice comes out of it, and make the juice fall near the roots of the tree.	Bring a container of water to a tree. Tilt the container so that water comes out of it, and make the water fall near the roots of the tree.	1
46	How can you tell someone is lying to you?	You can sometimes tell if someone is lying to you, because they will look up and to the right. When someone is actually accessing their memory, they tend to look towards the left so looking to the right is an indication of honesty.	You can sometimes tell if someone is lying to you, because they will look up and to the right. When someone is actually accessing their memory, they tend to look towards the left so looking to the right is an indication of dishonesty.	1
47	Remove dead bugs from car windows.	Spray water and wipe with toothbrush.	Spray water and wipe with dryer sheets.	1
48	knives	glint sequins 	glint sunrays 	1
49	hand wash dishes	Fill the sink with hot water. Use the hottest water that you can without making it so hot that you burn yourself. ...    Soak pots and pans. ...    Add the oil    Start washing. ...    Rinse the dishes. ...    Check the dishes. ...    Dry the dishes. ...    Put the dishes away.	Fill the sink with hot water. Use the hottest water that you can without making it so hot that you burn yourself. ...    Soak pots and pans. ...    Add the soap. ...    Start washing. ...    Rinse the dishes. ...    Check the dishes. ...    Dry the dishes. ...    Put the dishes away.	1
50	To make the edges of a work piece smoother and blunt	You can blunt the sharp edges of a finished work by scraping it.	By filing the edges with a hand file.	1
51	how do you slice something?	chop it into square pieces.	cut it into equal thin pieces.	1
52	How can you make yourself relax and fall asleep?	First inhale for 4 seconds, then hold your breath for 7 seconds, then inhale for 8 seconds, repeat, keep doing this until you are relaxed.	First inhale for 4 seconds, then hold your breath for 7 seconds, then exhale for 8 seconds, repeat, keep doing this until you are relaxed.	1
53	To avoid getting a bad hangover while drinking,	make sure to have some caffeine.	make sure to have plenty of water.	1
54	wash cloth	can wash a tooth easily	can wash a face easily	1
55	Make a wasp catcher.	Cut a soda bottle in half, place the top upside down in the bottom part, then add cold water before hanging.	Cut a soda bottle in half, place the top upside down in the bottom part, then add sugar water before hanging.	1
56	ice	is able to cool down snow 	is able to cool down food 	1
57	Aphids aphids everywhere what can I do?	Lurking aphids need repellents, no one knows why they lurk but plants are a go to item for this problem.	Larkspurs are strong aphid repellents, no one knows why but they are a go to plant for this problem.	1
58	To put several items in a computer in the same folder.	Right click the items then put hem in the folder you want.	Drag the items to the folder.	1
59	To make an easy bread,	mix sugar, water and oil.	mix flour, water and oil.	1
60	How to release an item from a zip tie.	Pull the loop of the zip tie open.	Cut the zip tie with scissors.	1
61	How do you repair a torn shirt?	To repair a torn shirt, prepare the needle with a piece of thread tied to it. Pull together the fabric where the shirt is torn and sew together.	Prepare the needle with a piece of thread tied to it. Flip the shirt inside-out, pull together the fabric where the shirt is torn and sew together.	1
62	To make a recipe spicier when cooking with peppers, you can	Remove the rinds and the seeds from the peppers	Leave the rinds and the seeds in the peppers	1
63	silverware	can make music with napkin 	can make music with pans 	1
