sentence	label
lucid work 	1
in entertaining 	1
's a great american adventure and a wonderful film to bring to imax 	1
even more remarkable 	1
portrays their cartoon counterparts well ... 	1
special effect 	1
impressed by the skill of the actors involved in the enterprise 	1
it 's waltzed itself into the art film pantheon . 	1
, the film is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan . 	1
trusted audiences 	1
a temporal inquiry 	1
when all is said and done , she loves them to pieces -- and so , i trust , will you . 	1
we 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in fire that makes the formula fresh again 	1
perfectly clear 	1
it 's a great performance and a reminder of dickens ' grandeur . 	1
to plant smile-button faces on that segment of the populace that made a walk to remember a niche hit 	1
a nicely 	1
make it human 	1
, harvard man is something rare and riveting : a wild ride that relies on more than special effects . 	1
beautiful film to watch 	1
and civic action laudable 	1
recommended viewing for its courage , ideas , technical proficiency and great acting 	1
strong and confident 	1
` ke burstein 	1
the best in recent memory 	1
shock-you-into-laughter 	1
you could change tables 	1
offers instead an unflinching and objective look at a decidedly perverse pathology 	1
a powerful , chilling , and affecting study 	1
was a deserved co-winner of the audience award for documentaries at the sundance film festival 	1
makes good b movies ( the mask , the blob ) 	1
arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a scrooge or two 	1
flat-out amusing , sometimes endearing and often fabulous 	1
enough charm and appealing character quirks to forgive that still serious problem 	1
you enough to feel good about 	1
the proper conviction 	1
you 'll have a good time with this one too 	1
india 's popular gulzar and jagjit singh 	1
a brilliant piece of filmmaking 	1
no real surprises -- but still quite tasty and inviting all the same 	1
