premise	hypothesis	label
A woman looks at a red scarf of one of the vendors set up in the street.	A man looks at a red scarf of one of the vendors set up in the street.	2
A man supports his entire body weight with one hand on a wooden floor	Bob forgot how to walk.	2
A young white boy is horizontal in the air, about to hit the floor.	the boy is on the ground	2
A policeman on a motorcycle is stopped behind a car he pulled over.	The librarian pulled over to the side of the road.	2
A girl wearing boots stands next to a swimming pool and four people seated on a bench.	7 men attempt to finish a giant burger	2
Two women and three men are hiking along a rocky stream.	Several people are in the stream.	2
Several people are eating a meal outdoors at a restaurant.	Several people are eating at home.	2
A group of men in a canoe paddle down a river.	There are a group of women in a gym.	2
Little girl sitting in a blue stroller.	Little boy sitting in a blue stroller.	2
A person with an orange helmet on is skateboarding at a skate park with a Beno's building on the right side.	A girl rides her bicycle through the park.	2
A woman is wearing a white headband, purple tank top and black gloves.	A woman wearing a yellow headband and green tank top swimming in a pool.	2
